zpid,address,city,state,zip,latitude,longitude,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
12857671,825 E Three Fountains Cir UNIT 8,Murray,UT,84107,40.661628,-111.870593,180000,2280.0,3.0,2.5,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/825-E-Three-Fountains-Cir-UNIT-8-Murray-UT-84107/12857671_zpid/
2092566521,4675 S Tina Way,Millcreek,UT,84107,40.668512,-111.869212,319900,2072.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4675-S-Tina-Way-Millcreek-UT-84107/2092566521_zpid/
122071643,461 E Windy Garden Ln,Salt Lake City,UT,84107,40.677766,-111.878045,369900,2735.0,3.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/461-E-Windy-Garden-Ln-Salt-Lake-City-UT-84107/122071643_zpid/
12867024,5696 S 675 E,Murray,UT,84107,40.647875,-111.873082,275000,1196.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5696-S-675-E-Murray-UT-84107/12867024_zpid/
2092577584,561 E Malibu S Dr,Murray,UT,84107,40.679744,-111.87521,359900,2912.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/561-E-Malibu-S-Dr-Murray-UT-84107/2092577584_zpid/
2094713910,809 E Vine Creek S Cir,Murray,UT,84107,40.64456,-111.86848,699900,5685.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/809-E-Vine-Creek-S-Cir-Murray-UT-84107/2094713910_zpid/
12856614,205 E Vine St,Murray,UT,84107,40.663577,-111.885287,365000,2106.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/205-E-Vine-St-Murray-UT-84107/12856614_zpid/
12838681,24 W Lester Ave UNIT C21,Murray,UT,84107,40.629042,-111.891956,112700,705.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/24-W-Lester-Ave-UNIT-C21-Murray-UT-84107/12838681_zpid/
12857149,405 Creekside Cir APT C,Murray,UT,84107,40.65482,-111.876366,129900,822.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/405-Creekside-Cir-APT-C-Murray-UT-84107/12857149_zpid/
2092837367,6894 S Lenora Joe Cv,Murray,UT,84107,40.626261,-111.898123,339000,2820.0,6.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6894-S-Lenora-Joe-Cv-Murray-UT-84107/2092837367_zpid/
12866508,494 E Tonalea Dr,Murray,UT,84107,40.653376,-111.875631,179900,1136.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/494-E-Tonalea-Dr-Murray-UT-84107/12866508_zpid/
89432161,4276 S Main St UNIT 411,Salt Lake City,UT,84107,40.678167,-111.891477,187000,978.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4276-S-Main-St-UNIT-411-Salt-Lake-City-UT-84107/89432161_zpid/
2092745527,879 E Red Sage Ln,Salt Lake City,UT,84107,40.67119,-111.865949,310000,2368.0,2.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/879-E-Red-Sage-Ln-Salt-Lake-City-UT-84107/2092745527_zpid/
12856153,4571 Creek Ln,Murray,UT,84107,40.671903,-111.879575,389000,2944.0,6.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4571-Creek-Ln-Murray-UT-84107/12856153_zpid/
2092745376,5085 S Ute E Cir,Murray,UT,84107,40.659912,-111.868336,459900,4706.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5085-S-Ute-E-Cir-Murray-UT-84107/2092745376_zpid/
2092869173,809 E Vine Creek Cir,Murray,UT,84107,40.644717,-111.868529,699900,5685.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/809-E-Vine-Creek-Cir-Murray-UT-84107/2092869173_zpid/
12866219,5753 Nena Way,Murray,UT,84107,40.646364,-111.890733,320000,2288.0,4.0,2.0,NA,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/5753-Nena-Way-Murray-UT-84107/12866219_zpid/
2096702379,561 E Malibu Dr,Salt Lake City,UT,84107,40.679744,-111.87521,359900,2912.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/561-E-Malibu-Dr-Salt-Lake-City-UT-84107/2096702379_zpid/
12855639,686 E 4119 S,Murray,UT,84107,40.681824,-111.871877,381300,2800.0,4.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/686-E-4119-S-Murray-UT-84107/12855639_zpid/
12855636,668 E 4119 S,Murray,UT,84107,40.681825,-111.872239,379900,2800.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/668-E-4119-S-Murray-UT-84107/12855636_zpid/
2093112092,5327 S 560 E St # C,Murray,UT,84107,40.655371,-111.874913,101900,637.0,1.0,1.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/5327-S-560-E-St-C-Murray-UT-84107/2093112092_zpid/
2093520676,4538 S 700 E # A1,Murray,UT,84107,40.673009,-111.872864,120000,790.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4538-S-700-E-A1-Murray-UT-84107/2093520676_zpid/
