zpid,address,city,state,zip,latitude,longitude,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
89202040,1379 S 960 W,Provo,UT,84601,40.215641,-111.675209,315999,2726.0,5.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1379-S-960-W-Provo-UT-84601/89202040_zpid/
11914070,1498 Lancelot Dr,Provo,UT,84601,40.242654,-111.684833,100000,1100.0,2.0,1.5,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1498-Lancelot-Dr-Provo-UT-84601/11914070_zpid/
2098874110,570 W 1578 S # 2C8JHV,Provo,UT,84601,40.2125,-111.6693,329990,3237.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098874110_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2098874108,570 W 1578 S # ICDRMS,Provo,UT,84601,40.2125,-111.6693,352990,3249.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098874108_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2098874113,570 W 1578 S # 5Q4I45,Provo,UT,84601,40.2125,-111.6693,362990,3733.0,4.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098874113_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2098874109,570 W 1578 S # JWCMTS,Provo,UT,84601,40.2125,-111.6693,334990,2782.0,3.0,2.5,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098874109_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
11888125,80 N 900 W,Provo,UT,84601,40.234793,-111.674141,265000,2088.0,5.0,3.0,NA,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/80-N-900-W-Provo-UT-84601/11888125_zpid/
11956824,1716 W 150 N,Provo,UT,84601,40.236027,-111.689319,180000,747.0,2.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1716-W-150-N-Provo-UT-84601/11956824_zpid/
2092592347,1033 W 770 S,Provo,UT,84601,40.22328,-111.67624,315000,2100.0,4.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1033-W-770-S-Provo-UT-84601/2092592347_zpid/
11887844,461 W 200 S,Provo,UT,84601,40.23066,-111.666771,250000,2025.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/461-W-200-S-Provo-UT-84601/11887844_zpid/
53164876,2434 W 180 S,Provo,UT,84601,40.23177,-111.701463,289900,2006.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2434-W-180-S-Provo-UT-84601/53164876_zpid/
11944351,233 N 2250 W,Provo,UT,84601,40.236444,-111.697856,295000,3020.0,5.0,2.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/233-N-2250-W-Provo-UT-84601/11944351_zpid/
11937213,2419 W 960 N,Provo,UT,84601,40.246184,-111.701515,295000,1914.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2419-W-960-N-Provo-UT-84601/11937213_zpid/
