zpid,address,city,state,zip,latitude,longitude,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
http://www.zillow.com/homes/for_sale//homedetails/1379-S-960-W-Provo-UT-84601/89202040_zpid/,89202040,UT,3.0,House For Sale,40.215641,-111.675209,319999,5.0,Provo,1379 S 960 W,84601,2726.0,NA
http://www.zillow.com/homes/for_sale//homedetails/1498-Lancelot-Dr-Provo-UT-84601/11914070_zpid/,11914070,UT,1.5,Condo For Sale,40.242654,-111.684833,100000,2.0,Provo,1498 Lancelot Dr,84601,1100.0,NA
http://www.zillow.com/homes/for_sale//homedetails/80-N-900-W-Provo-UT-84601/11888125_zpid/,11888125,UT,3.0,Make Me Move®,40.234793,-111.674141,265000,5.0,Provo,80 N 900 W,84601,2088.0,NA
"http://www.zillow.com/homes/for_sale/2098874108_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",2098874108,UT,2.5,New Construction,40.2125,-111.6693,352990,3.0,Provo,570 W 1578 S # ICDRMS,84601,3249.0,NA
"http://www.zillow.com/homes/for_sale/2098874113_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",2098874113,UT,2.5,New Construction,40.2125,-111.6693,362990,4.0,Provo,570 W 1578 S # 5Q4I45,84601,3733.0,NA
http://www.zillow.com/homes/for_sale//homedetails/1235-N-3020-W-Provo-UT-84601/55717924_zpid/,55717924,UT,NA,House For Sale,40.250414,-111.712313,360000,0.0,Provo,1235 N 3020 W,84601,2235.0,NA
"http://www.zillow.com/homes/for_sale/2098874115_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",2098874115,UT,2.0,New Construction,40.2125,-111.6693,322990,3.0,Provo,570 W 1578 S # 4H9V7K,84601,3085.0,NA
"http://www.zillow.com/homes/for_sale/2098874110_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",2098874110,UT,2.0,New Construction,40.2125,-111.6693,329990,3.0,Provo,570 W 1578 S # 2C8JHV,84601,3237.0,NA
http://www.zillow.com/homes/for_sale//homedetails/1716-W-150-N-Provo-UT-84601/11956824_zpid/,11956824,UT,1.0,House For Sale,40.236027,-111.689319,180000,2.0,Provo,1716 W 150 N,84601,747.0,NA
http://www.zillow.com/homes/for_sale//homedetails/1905-W-100-S-Provo-UT-84601/11934572_zpid/,11934572,UT,1.0,House For Sale,40.232232,-111.692391,199000,3.0,Provo,1905 W 100 S,84601,1225.0,NA
http://www.zillow.com/homes/for_sale//homedetails/2419-W-960-N-Provo-UT-84601/11937213_zpid/,11937213,UT,2.0,House For Sale,40.246184,-111.701515,295000,3.0,Provo,2419 W 960 N,84601,1914.0,NA
http://www.zillow.com/homes/for_sale//homedetails/2434-W-180-S-Provo-UT-84601/53164876_zpid/,53164876,UT,3.0,House For Sale,40.23177,-111.701463,289900,3.0,Provo,2434 W 180 S,84601,2006.0,NA
http://www.zillow.com/homes/for_sale//homedetails/341-W-1570-S-Provo-UT-84601/11931940_zpid/,11931940,UT,2.0,House For Sale,40.212585,-111.664635,239000,3.0,Provo,341 W 1570 S,84601,1360.0,NA
http://www.zillow.com/homes/for_sale//homedetails/1033-W-770-S-Provo-UT-84601/2092592347_zpid/,2092592347,UT,2.0,For Sale by Owner,40.22328,-111.67624,315000,4.0,Provo,1033 W 770 S,84601,2100.0,NA
